private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
ISIS,,0.0,,,
ABC News,,0.0,,,
11 July 2022,,0.0,,,
Islamic State,,0.0,,,
First Post,,0.0,,,
13 November 2015,,0.0,,,
12 October 2017,,0.0,,,
Urbina,,0.0,,,
Ian,,0.0,,,
11 August 2020,,0.0,,,
San Francisco Chronicle,,0.0,,,
2 July 2022,,0.0,,,
23 October 2020,,0.0,,,
USA Today,,0.0,,,
Reuters,,0.0,,,
9 August 2020,,0.0,,,
29 October 2020,,0.0,,,
last week's,,0.0,,,
weeks,,0.0,,,
10 September 2020,,0.0,,,
11 September 2020,,0.0,,,
Cappelen,,0.0,,,
Jensen,,0.0,,,
Jens,,0.0,,,
Danish Meteorological Institute,,0.0,,,
16 January 2013,,0.0,,,
2 March 2013,,0.0,,,
4 February 2022,,0.0,,,
Monthly,,0.0,,,
6 February 2016,,0.0,,,
20 January 2014,,0.0,,,
Hume,,0.0,,,
Tim,,0.0,,,
Tawfeeq,,0.0,,,
Mohammed,,0.0,,,
23 April 2008,,0.0,,,
12 April 2009,,0.0,,,
UNRWA,,0.0,,,
31 December 2006,,0.0,,,
9 April 2008,,0.0,,,
18 April 2008,,0.0,,,
Sherifa Shafie,,0.0,,,
28 May 2008,,0.0,,,
Chatila,,0.0,,,
Sciences Po Violence de masse et Résistance - Réseau de recherche,,0.0,,,
29 April 2019,,0.0,,,
28 March 2023,,0.0,,,
14 October 2021,,0.0,,,
Gustafsson,,0.0,,,
Jenny,,0.0,,,
2 June 2015,,0.0,,,
25 February 2024,,0.0,,,
Lebanese Ministry of Environment,,0.0,,,
2001,,0.0,,,
24 June 2015,,0.0,,,
8 June 2015,,0.0,,,
United Nations,,0.0,,,
17 January 2010,,0.0,,,
30 September 2014,,0.0,,,
Encyclopedia of the Nations,,0.0,,,
13 January 2010,,0.0,,,
"Dec. 19, 2006",,0.0,,,
Khalaf,,0.0,,,
Samir,,0.0,,,
28 May 2012,,0.0,,,
Saqi,,0.0,,,
19 September 2020,,0.0,,,
Bloomberg,,0.0,,,
cedarland,,0.0,,,
cedarland.org,,0.0,,,
26 April 2006,,0.0,,,
18 December 2012,,0.0,,,
Lebanese Company for the Reconstruction of Beirut Central District –,,0.0,,,
Solidere.com,,0.0,,,
10 June 2016,,0.0,,,
Ryan,,0.0,,,
Amanda,,0.0,,,
3 July 2014,,0.0,,,
Interventions Journal,,0.0,,,
20 December 2016,,0.0,,,
12 November 2016,,0.0,,,
a b Battah,,0.0,,,
Habib,,0.0,,,
19 January 2014,,0.0,,,
Beirut Report,,0.0,,,
7 December 2016,,0.0,,,
13 December 2016,,0.0,,,
Wainwright,,0.0,,,
Oliver,,0.0,,,
22 January 2015,,0.0,,,
2018,,0.0,,,
10 November 2014,,0.0,,,
8 September 2013,,0.0,,,
27 November 2010,,0.0,,,
27 January 2010,,0.0,,,
19 October 2009,,0.0,,,
5 March 2013,,0.0,,,
15 August 2016,,0.0,,,
12 March 2013,,0.0,,,
4 October 2013,,0.0,,,
6 January 2012,,0.0,,,
5 June 2013,,0.0,,,
12 April 2013,,0.0,,,
Shair,,0.0,,,
"Oct. 14, 2006",,0.0,,,
U.S. Department of State,,0.0,,,
Bureau of Consular Affairs,,0.0,,,
30 July 2018,,0.0,,,
Government of Canada,,0.0,,,
16 November 2012,,0.0,,,
9 April 2019,,0.0,,,
25 May 2014,,0.0,,,
Gov.uk,,0.0,,,
4 June 2019,,0.0,,,
4 March 2016,,0.0,,,
22 December 2022,,0.0,,,
7 August 2020,,0.0,,,
27 October 2021,,0.0,,,
25 February 2021,,0.0,,,
8 January 2005,,0.0,,,
19 December 2010,,0.0,,,
2 March 2010,,0.0,,,
7 August 2006,,0.0,,,
Carrell,,0.0,,,
Severin,,0.0,,,
15 October 2008,,0.0,,,
Glasgow,,0.0,,,
London,,0.0,,,
23 August 2011,,0.0,,,
"Sherwood, Williams, Wise",,0.0,,,
Meek,,0.0,,,
"Jan. 11, 2009",,0.0,,,
20 June 2011,,0.0,,,
Condé Nast Traveler,,0.0,,,
16 October 2012,,0.0,,,
3 February 2013,,0.0,,,
26 March 2013,,0.0,,,
Lutz,,0.0,,,
26 September 2009,,0.0,,,
Los Angeles Times,,0.0,,,
12 October 2009,,0.0,,,
21 February 2014,,0.0,,,
eecoy.com,,0.0,,,
4 January 2017,,0.0,,,
7 June 1926,,0.0,,,
Lebanonpanorama.com,,0.0,,,
10 February 2009,,0.0,,,
12 October 2007,,0.0,,,
25 July 2009,,0.0,,,
28 August 2016.[dead,,0.0,,,
United Nations General Assembly,,0.0,,,
15 November 2007,,0.0,,,
United Nations Economic and Social Commission for Western Asia,,0.0,,,
5 September 2015,,0.0,,,
Arab Air Carriers Organization,,0.0,,,
Aaco.org,,0.0,,,
28 January 2010,,0.0,,,
29 January 2011,,0.0,,,
Union of Arab Stock Exchanges,,0.0,,,
arabstockexchanges.org,,0.0,,,
5 November 2010,,0.0,,,
12 February 2011,,0.0,,,
International Labour Organization (Lebanon,,0.0,,,
25 July 2001,,0.0,,,
UNESCO Beirut,,0.0,,,
29 May 2023,,0.0,,,
1 June 2023,,0.0,,,
IAU,,0.0,,,
29 August 2008,,0.0,,,
20 November 2007,,0.0,,,
RTF,,0.0,,,
Unesco.org,,0.0,,,
Ncusar.org,,0.0,,,
5 April 2012,,0.0,,,
14 June 2010,,0.0,,,
International Served By Pappas Consulting,,0.0,,,
20 April 2009,,0.0,,,
Universities of Lebanon,,0.0,,,
15 March 2010,,0.0,,,
17 July 2011,,0.0,,,
ACPE,,0.0,,,
30 June 2004,,0.0,,,
17 April 2004,,0.0,,,
29 July 2010,,0.0,,,
Educalys,,0.0,,,
22 July 2011,,0.0,,,
5 September 2011,,0.0,,,
Transportation & Communication,,0.0,,,
2 January 2010,,0.0,,,
Beirut Transport,,0.0,,,
24 October 2007,,0.0,,,
12 July 2024,,0.0,,,
23 May 2022,,0.0,,,
Transport Ministry,,0.0,,,
Sour,,0.0,,,
Bekaa,,0.0,,,
24 April 2025,,0.0,,,
ACTC Public Transportation,,0.0,,,
France Diplomatie,,0.0,,,
14 October 2007,,0.0,,,
9 January 2008,,0.0,,,
Libanvision,,0.0,,,
28 September 2007,,0.0,,,
Moldavie.fr,,0.0,,,
17 October 2007,,0.0,,,
un.org,,0.0,,,
6 July 2007,,0.0,,,
20 November 2017,,0.0,,,
28 June 2017,,0.0,,,
Butters,,0.0,,,
Andrew Lee,,0.0,,,
17 March 2009,,0.0,,,
Times/CNN,,0.0,,,
22 March 2009,,0.0,,,
Sergeant,,0.0,,,
Mike,,0.0,,,
13 February 2008,,0.0,,,
24 April 2009,,0.0,,,
beirutnationalmuseum.com,,0.0,,,
National Museum of Beirut,,0.0,,,
18 August 2013,,0.0,,,
AUB Museum,,0.0,,,
2 June 2009,,0.0,,,
Rmpm.info,,0.0,,,
1 May 2009,,0.0,,,
SursockHouse,,0.0,,,
25 May 2018,,0.0,,,
24 May 2018,,0.0,,,
Beirut City Center Culture – Planet Discovery,,0.0,,,
25 July 2008,,0.0,,,
19 July 2011,,0.0,,,
The Mineralogical Record,,0.0,,,
Peter Lyckberg,,0.0,,,
24 March 2009,,0.0,,,
Mideast,,0.0,,,
18 July 2011,,0.0,,,
20 June 2013,,0.0,,,
