private_entity,external_uri,confidence,description,wikidata_id,wikidata_label
Jezzar Pasha,http://www.wikidata.org/entity/Q2453214,1.0,18th-century Ottoman governor,Q2453214,Jezzar Pasha
Abdullah Pasha,http://www.wikidata.org/entity/Q21523874,1.0,Wikimedia disambiguation page,Q21523874,Abdullah Pasha
Ibrahim Pasha,,0.0,,,
Egypt,http://www.wikidata.org/entity/Q79,1.0,country in Northeast Africa and Southwest Asia,Q79,Egypt
Tafil Buzi,http://www.wikidata.org/entity/Q7674976,1.0,Albanian rebel,Q7674976,Tafil Buzi
the second half of the nineteenth century,,0.0,,,
France,http://www.wikidata.org/entity/Q142,1.0,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)",Q142,France
Sursock,http://www.wikidata.org/entity/Q124386364,1.0,family name,Q124386364,Sursock
1860,,0.0,,,
Mount Lebanon,http://www.wikidata.org/entity/Q333711,1.0,mountain range in Lebanon,Q333711,Mount Lebanon
Vilayet Mehmed Rashid Pasha,,0.0,,,
"the Beirut Municipal Council,[55",,0.0,,,
the following decades.[55,,0.0,,,
Vilayet,,0.0,,,
1888,http://www.wikidata.org/entity/Q7829,1.0,year,Q7829,1888
Latakia,,0.0,,,
Europe,http://www.wikidata.org/entity/Q46,1.0,terrestrial continent located in north-western Eurasia,Q46,Europe
the United States,,0.0,,,
the American University of Beirut,http://www.wikidata.org/entity/Q136194608,1.0,book 2011,Q136194608,The American University of Beirut
Aleppo,,0.0,,,
1907,http://www.wikidata.org/entity/Q2048,1.0,year,Q2048,1907
Marseille,http://www.wikidata.org/entity/Q23482,1.0,"French commune in Bouches-du-Rhône, Provence-Alpes-Côte d'Azur; the second largest city of France",Q23482,Marseille
1911,,0.0,,,
Encyclopædia Britannica,http://www.wikidata.org/entity/Q455,1.0,"general knowledge English-language encyclopaedia, first published in Scotland in 1768",Q455,Encyclopædia Britannica
the start of the 20th century,,0.0,,,
Salim Ali Salam,http://www.wikidata.org/entity/Q7404551,1.0,Lebanese politician,Q7404551,Salim Ali Salam
the Municipality of Beirut,,0.0,,,
2003,http://www.wikidata.org/entity/Q1986,1.0,year,Q1986,2003
Yussef Bin Ahmad Bin Ali Al Husseini,,0.0,,,
the Syrian Coast,,0.0,,,
1351,,0.0,,,
the Ottoman Empire,http://www.wikidata.org/entity/Q2564225,0.816,aspect of history,Q2564225,history of the Ottoman Empire
Bilad al-Sham,,0.0,,,
1943,http://www.wikidata.org/entity/Q18623,1.0,year,Q18623,1943
Persian Gulf,http://www.wikidata.org/entity/Q34675,1.0,extension of the Indian Ocean,Q34675,Persian Gulf
23 April 1954,,0.0,,,
