entity,label,source_url,title
Laylake-Mreijeh,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Hay al Sillum,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Hadath,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Burj Hammoud,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Sin el Fil,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Dekwane,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Mkalles,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Hazmiyeh,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Sabra,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Greater Beirut.[107][108,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Middle East.[110,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
East,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Central District,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Solidere,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
thousands of years old,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Beirut Central District,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Beirut Central District,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
BCD,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Central District's,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the year,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Today,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Zeituna Bay,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
American University of Beirut,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Nabil Beyhum,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Journal The Beirut Review,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1992,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
1980s,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
early 1990s,DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
UCLA,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Saree Makdisi,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Critical Inquiry,ORG,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
the Beirut Downtown,LOC,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
Solidere,PERSON,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
edit]Beirut,GPE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
"the 1920s,[123",DATE,https://en.wikipedia.org/wiki/Beyrouth,Beirut - Wikipedia
